material_id,name,phase,category,subcategory,description,specifications,unit,usage_type,usage_ratio,quality_grade,brand,notes,functional_tag,synonyms,room_type,finishing_tier_min
M0001,Site clearing (bush cutter fuel),Site Preparation,Misc,Equipment fuel,Fuel used for initial clearing tools,Petrol 92 RON,L,per_sqft,0.00015,standard,,,structural,,general,economy
M0002,Marking lime powder (choona),Site Preparation,Consumable,Layout & marking,Used for layout lines and leveling reference,Hydrated lime powder,kg,per_sqft,8e-05,standard,,,structural,lime; choona,general,economy
M0003,Survey string line (nylon),Site Preparation,Consumable,Layout & marking,String line for setting out and levels,Nylon 1.5–2mm,roll,per_marla,0.15,standard,,,structural,,general,economy
M0004,Wooden pegs (killi),Site Preparation,Consumable,Layout & marking,Pegs for staking layout,2x2 in,pcs,per_marla,6.0,standard,,,structural,,general,economy
M0005,Warning tape (red/white),Site Preparation,Consumable,Safety,Safety marking around excavation area,Barrier tape 50–75mm,roll,per_marla,0.05,standard,,,structural,,general,economy
M0006,Temporary site lighting bulb,Site Preparation,Electrical,Temporary,Temporary bulbs for site work,LED 12–20W,pcs,per_marla,0.2,standard,,,structural,,general,economy
M0007,Temporary cable (2C),Site Preparation,Electrical,Temporary,Temporary power cabling for site,2 core 7/29 or 2x1.5mm2,m,per_marla,3.0,standard,,,structural,,general,economy
M0008,Water hose pipe (site),Site Preparation,Plumbing,Temporary,Water hose for curing and cleaning,1/2 in reinforced,m,per_marla,1.5,standard,,,structural,,general,economy
M0009,First-aid box refills,Site Preparation,Consumable,Safety,Minor medical consumables for site,Standard kit,kit,per_site,1.0,standard,,,structural,,general,economy
M0010,Excavation shoring timber,Excavation & Foundation,Wood,Shoring,Timber for temporary shoring where needed,Deodar/white wood,ft,per_marla,8.0,standard,,,structural,,general,economy
M0011,Earth disposal bags,Excavation & Foundation,Consumable,Debris handling,Bags for soil/debris shifting,PP woven 50kg,pcs,per_marla,20.0,standard,,,structural,,general,economy
M0012,Anti-termite chemical,Excavation & Foundation,Chemical,Soil treatment,Soil treatment before PCC/footings,Chlorpyrifos 20% EC,L,per_sqft,0.00022,standard,,,structural,,general,economy
M0013,Lean concrete (PCC) cement,Excavation & Foundation,Concrete,Cement,Cement for PCC under footings,OPC 53/42.5,bag,per_sqft,0.0022,standard,,,structural,,general,economy
M0014,Lean concrete (PCC) sand,Excavation & Foundation,Concrete,Aggregate fine,Sand for PCC,Lawrencepur/Chenab sand,cft,per_sqft,0.018,standard,,,structural,,general,economy
M0015,Lean concrete (PCC) crush (bajri),Excavation & Foundation,Concrete,Aggregate coarse,Crush/bajri for PCC,3/4 in crush,cft,per_sqft,0.036,standard,,,structural,bajri; crush,general,economy
M0016,Footing concrete cement,Excavation & Foundation,Concrete,Cement,Cement for RCC footings/raft,OPC 53/42.5,bag,per_sqft,0.0038,standard,,,structural,,general,economy
M0017,Footing concrete sand,Excavation & Foundation,Concrete,Aggregate fine,Sand for RCC footings/raft,Coarse sand,cft,per_sqft,0.03,standard,,,structural,,general,economy
M0018,Footing concrete crush (bajri),Excavation & Foundation,Concrete,Aggregate coarse,Crush for RCC footing concrete,1/2–3/4 in,cft,per_sqft,0.06,standard,,,structural,bajri; crush,general,economy
M0019,RCC steel rebar (sarya),Excavation & Foundation,Steel,Rebar,Reinforcement steel for footing/raft/columns,Grade 60 (ASTM) / PS 500,kg,per_sqft,0.85,standard,,Use with binding wire + cover blocks,structural,sarya; rebar; steel,general,economy
M0020,Binding wire (GI),Excavation & Foundation,Consumable,Rebar tying,Used to tie rebar cages,GI 16–18 gauge,kg,per_sqft,0.012,standard,,,structural,,general,economy
M0021,Cover blocks / spacers,Excavation & Foundation,Consumable,Rebar accessories,Concrete cover blocks for rebar,20–40mm,pcs,per_sqft,0.18,standard,,,structural,,general,economy
